Station Code;Max concentration (µg/m³) 2024;Min concentration (µg/m³) 2024;Mean annual concentration (µg/m³) 2024;Days exceeding 45 µg/m³ 2024;Mean annual concentration exceeding 20 µg/m³ 2024;Longitude;Latitude;Air Quality Station Name;Municipality;Country;Networks;Air Quality Station Area;Air Quality Station Type;Main Emission Sources;Latitude_y;Longitude_y;Urban sites;ACF MSE;ACF MAE;MOS MSE;MOS MAE;ENSEMBLE MSE;ENSEMBLE MAE
SPO-DK0012R_00005_101;87.65;0.05;12.2760777208547;;0;12.0889;55.6942;Risoe;Vor Frelsers;Denmark;EEA;rural-regional;background;Long-range transboundary transport;55.6942;12.0889;Copenhagen;0.125388;0.256411;0.140982;0.268171;0.166742;0.294208
SPO-DK0034A_00005_100;270.05;0.05;19.9010816708229;1;0;12.5711;55.6743;Copenhagen/1103;Maria;Denmark;EEA;urban;traffic;Long-range transboundary transport;55.6743;12.5711;Copenhagen;0.406692;0.408078;;;0.707764;0.569863
SPO-FI00179_00005_100;544.671238;0.119121;8.85546116678958;1;0;22.1431;61.3316;Pirkkala;Harjavalta;Finland;EEA;suburban;industrial;Industrial Processes;61.3316;22.1431;;;;;;;
SPO-FI00184_00005_100;198.296923;0.120727;8.37170166353245;;0;22.135;61.3135;Kaleva;Harjavalta;Finland;EEA;suburban;industrial;Industrial Processes;61.3135;22.135;;;;;;;
SPO_NO0059A_5_11;663.544775;0.10028;13.2794223704205;8;0;5.3404;60.3741;Danmarks plass;Bergen;Norway;EEA;urban;traffic;;60.3741;5.3404;Bergen;2.151204;0.260137;;;2.23962;0.302061
SPO-FI00301_00005_100;111.20085;0.009848;9.31293492619223;;0;25.4979;65.0434;Pyykösjärvi;Oulu;Finland;EEA;suburban;background;Transport;65.0434;25.4979;;;;;;;
SPO-FI00349_00005_100;104.403423;0.0943;6.80341993657817;;0;21.374;59.7792;Utö;Parainen;Finland;EEA;rural;background;Long-range transboundary transport;59.7792;21.374;;;;;;;
SPO_NO0108A_5_2071;400.584262;0.086922;7.3655923931293;;0;5.3324;60.4627;Rolland, Åsane;Bergen;Norway;EEA;suburban;background;;60.4627;5.3324;Bergen;0.230095;0.210771;;;0.208077;0.213637
SPO-FI00397_00005_100;640.578376;0.147851;12.3990390739307;11;0;22.7184;63.6791;Bottenviksvägen;Pietarsaari;Finland;EEA;urban;traffic;Transport;63.6791;22.7184;;;;;;;
SPO-FI00404_00005_100;344.075706;0.045884;12.0366948424025;4;0;23.1316;63.8376;Keskusta Pitkänsillankatu;Kokkola;Finland;EEA;urban;traffic;Transport;63.8376;23.1316;;;;;;;
SPO-FI00424_00005_100;322.88639;0.002327;10.5653302137923;1;0;28.7701;61.1889;Mansikkala;Imatra;Finland;EEA;urban;traffic;Transport;61.1889;28.7701;;;;;;;
SPO_NO0109A_5_2067;505.13122;0.12338;11.1491064564897;4;0;5.2369;60.3611;Loddefjord;Bergen;Norway;EEA;suburban;traffic;;60.3611;5.2369;Bergen;0.339418;0.249747;;;0.450958;0.282617
SPO-FI00427_00005_100;35.997911;0.010452;2.94335301376598;;0;24.2457;68.0005;Matorova;Kittilä;Finland;EEA;rural-regional;background;Long-range transboundary transport;68.0005;24.2457;;;;;;;
SPO-FI00433_00005_100;89.682008;0.016445;9.60985500129088;;0;28.8101;61.153;Teppanala;Imatra;Finland;EEA;suburban;industrial;Industrial Processes;61.153;28.8101;;;;;;;
SPO-FI00434_00005_100;598.844167;0.002205;7.86753601961628;1;0;28.4985;61.1171;Joutsenon keskusta;Lappeenranta;Finland;EEA;suburban;traffic;Transport;61.1171;28.4985;;;;;;;
SPO-FI00444_00005_100;311.803601;0.171909;10.3379378298095;3;0;22.0284;60.4674;Naantalin keskusta;Naantali;Finland;EEA;urban;traffic;Transport;60.4674;22.0284;;;;;;;
SPO-FI00446_00005_100;293.715172;0.034014;11.9723743557645;4;0;25.4713;65.01;Oulun keskusta 2;Oulu;Finland;EEA;urban;traffic;Transport;65.01;25.4713;;;;;;;
SPO-FI00455_00005_100;377.304731;0.164224;13.2123924144543;11;0;25.6549;60.967;Laune;Lahti;Finland;EEA;suburban;traffic;Transport;60.967;25.6549;;;;;;;
SPO-FI00465_00005_100;869.047487;0.005289;10.7277093823275;5;0;21.6183;63.0951;Vaasan keskusta;Vaasa;Finland;EEA;urban;traffic;Transport;63.0951;21.6183;;;;;;;
SPO-FI00549_00005_100;197.593863;0.008008;10.2065692586037;4;0;23.7357;61.4987;Pirkankatu;Tampere;Finland;EEA;urban;traffic;Transport;61.4987;23.7357;;;;;;;
SPO-FI00558_00005_100;373.895563;0.103522;12.2566992769174;12;0;27.6869;62.8933;Maaherrankatu;Kuopio;Finland;EEA;urban;traffic;Transport;62.8933;27.6869;;;;;;;
SPO_NO0120A_5_2902;814.321955;0.068269;9.30416206569567;3;0;5.3127;60.3959;Klosterhaugen;Bergen;Norway;EEA;urban;background;;60.3959;5.3127;Bergen;0.305231;0.196578;0.315051;0.174843;0.316671;0.200105
SPO-FI00570_00005_100;168.402036;0.116893;9.0276517780236;1;0;24.4816;64.6834;Raahen keskusta 2;Raahe;Finland;EEA;urban;traffic;Transport;64.6834;24.4816;;;;;;;
SPO-FI00586_00005_100;146.106593;0.000135;5.94165823247939;7;0;21.6127;63.0935;Vaasa vesitorni;Vaasa;Finland;EEA;urban;background;Transport;63.0935;21.6127;;;;;;;
SPO-FI00606_00005_100;240.916563;0.003533;10.391564610558;2;0;28.1843;61.0558;Lappeenrannan keskusta 4;Lappeenranta;Finland;EEA;urban;traffic;Transport;61.0558;28.1843;;;;;;;
SPO_NO0121A_5_2888;784.578591;0.004336;10.8922267790288;3;0;5.3246;60.2943;Rådal;Bergen;Norway;EEA;suburban;traffic;;60.2943;5.3246;Bergen;0.723757;0.217479;;;0.728614;0.240124
SPO-FI00838_00005_100;529.478598;0.008008;10.5126938724803;6;0;23.6758;61.5085;Epila 2;Tampere;Finland;EEA;suburban;traffic;Transport;61.5085;23.6758;;;;;;;
SPO-FI00839_00005_100;614.05872;0.206389;17.6325873990905;24;0;27.6619;62.882;Tasavallankatu;Kuopio;Finland;EEA;urban;traffic;Transport;62.882;27.6619;;;;;;;
